Task Name,Description,Status,Priority,Lane,Phase,Start Date,Due Date,Dependencies,Success Criteria,Risk Level,Owner,Tags,Calendar Relevant,TickTick Relevant,Source Doc,Notes
Maintain Tower after each package,"Re-sync Tower after every package closeout",Ready,P1 High,AI Workflow / Agent System,Phase 0,,,,Tower re-synced post closeout,Low,Claude,"keepmees,ai-workflow",No,No,docs/project-control/coordinator-weekly-sync.md,
Keep continuity protocols in force,"Sessions resume from repo only; handoffs via repo",Ready,P1 High,AI Workflow / Agent System,Phase 0,,,,Sessions resume from repo,Medium,Claude,"keepmees,ai-workflow",No,No,docs/dev/session-restart-protocol.md,Package 2.7
Maintain release readiness checklist,"Keep release-readiness template ready for launch phase",Backlog,P2 Medium,Launch Readiness,Phase 13,,,,Checklist maintained,Low,Coordinator,"keepmees",No,No,docs/qa/release-readiness-template.md,
Maintain competitor register reuse only,"Keep competitor intel current; no new teardown now",Backlog,P3 Low,Competitor Intelligence,Phase 1,,,,Register current,Low,Coordinator,"keepmees,competitor",No,No,docs/ops/competitor-intelligence-register.md,
Decide ClickUp TickTick Calendar adoption,"Founder decides whether to adopt external tools",Backlog,P2 Medium,Coordinator / Project Control,Phase 0,,,,Founder choice recorded,Low,Founder,"keepmees,decision-needed",No,Yes,docs/project-control/decision-log.md,Optional
Decide scripts node_modules history cleanup,"Decide whether to clean tracked node_modules history",Deferred,P3 Low,Coordinator / Project Control,Phase 0,,,,Decision recorded,Low,Coordinator,"keepmees,decision-needed",No,No,docs/project-control/decision-log.md,Separate from Package 2.8
Milestone Tower built,"Project Control Tower created",Done,P0 Critical,Coordinator / Project Control,Phase 0,2026-05-17,2026-05-17,,Tower files exist under docs/project-control,Low,Claude,"keepmees,milestone",No,No,docs/project-control/README.md,Package 2.8
Milestone Tower reviewed and merged,"Tower approved and merged to main",Backlog,P0 Critical,Coordinator / Project Control,Phase 0,2026-05-20,2026-05-23,Review Project Control Tower,Tower on main,Medium,Coordinator,"keepmees,milestone",No,Yes,docs/project-control/master-schedule.md,
Milestone Package 5A delivered,"Proof approval state foundation merged",Backlog,P1 High,Development,Phase 12,2026-05-28,2026-06-06,Package 5A Proof Approval State Foundation,5A merged with tests,Medium,Claude,"keepmees,milestone",No,No,docs/project-control/master-schedule.md,Estimate
Gate Foundation Operating System,"Verify Tower merged before unpausing Package 5A",Waiting / Blocked,P0 Critical,Coordinator / Project Control,Phase 0,,2026-05-23,Commit and merge Package 2.8,Gate 1 passed,Medium,Coordinator,"keepmees,gate",Yes,No,docs/project-control/phase-gates.md,
Gate Vendor Readiness,"Confirm vendor and open isCoverUnblocked",Waiting / Blocked,P1 High,Vendor Feasibility,Phase 9,,,Vendor confirmation decision,Gate 6 passed,High,Coordinator,"keepmees,gate",No,No,docs/project-control/phase-gates.md,Low confidence
Gate Beta Proof Review,"In-app proof approval state with explicit accept",Waiting / Blocked,P1 High,Message Book,Phase 12,,,Package 5A Proof Approval State Foundation,Gate 9 passed,Medium,Coordinator,"keepmees,gate",No,No,docs/project-control/phase-gates.md,DEC-P-09
